"predicted_nutrient","experiment_num","measured_con","lm_predicted","gbm_predicted","hybrid_gbm_predicted"
"TN",1,0.4,0.543549510480708,0.292249719277043,0.300989614028937
"TN",1,1.1,0.551557121367166,0.3986510801342,0.372789917199707
"TN",1,0.43,0.598136924222807,0.640640091665904,0.8550851127805
"TN",1,0.32,0.568250630283057,0.392596242976945,0.431838217113966
"TN",1,0.18,0.543858304762075,0.290354792711831,0.26696224177322
"TN",1,0.23,0.543781089931429,0.310276769625122,0.280568234585149
"TN",1,0.51,0.555171339900371,0.517527902703855,0.565817713795311
"TN",1,0.73,1.02783941003972,1.28834355017253,1.29754342331934
"TN",1,0.42,0.623191463361996,0.564173182364346,0.648840931505537
"TN",1,0.47,0.58089526840894,0.479062547549588,0.60150451625034
"TN",1,0.32,0.553675648323876,0.337659079529833,0.537811456436852
"TN",1,0.33,0.5469559147884,0.249897676285622,0.281875141721944
"TN",1,0.27,0.545404911047821,0.255657485448521,0.270465396397823
"TN",1,0.23,0.54470839479979,0.245473190448374,0.264347477562637
"TN",1,0.26,0.544090015774704,0.359039549230863,0.309532569003723
"TN",1,0.22,0.544244544868416,0.361056449244927,0.466230346697555
"TN",1,0.19,0.544012768046653,0.306205572625046,0.296733293630888
"TN",1,1.7,0.568977249884893,0.987916180901866,0.98334119108312
"TN",1,0.38,0.559682700208992,0.887009362689929,0.810341752839375
"TN",1,0.99,0.54470839479979,0.455998010424368,0.356554261549447
"TN",1,1.6,0.544167275200942,0.620711744462978,0.42744455326016
"TN",1,1.8,0.544012768046653,0.631452522916548,0.497095646551999
"TN",1,0.37,0.553597039665989,0.64727182394154,0.562111473813083
"TN",1,0.28,0.55210558942443,0.543233868437844,0.496782075368965
"TN",1,1.3,0.949008548594304,1.2482489782166,1.45063242174591
"TN",1,1.4,0.586864235323023,1.20651016559331,1.35768258660494
"TN",1,1.8,0.701734066378619,1.52976483187862,1.51241015524993
"TN",1,1.4,0.71765458709496,1.3860034897749,1.39340594223608
"TN",1,1.3,0.7192867966804,1.38225551546719,1.33493375817968
"TN",1,1,0.791635490783365,1.30871903868318,1.31964642707626
"TN",1,0.55,0.657272523997913,0.787846598737051,0.700729032076903
"TN",1,0.59,2.16939843223488,0.84295073821034,0.901686987541167
"TN",1,1,1.27379487982833,0.923427851553891,0.972273121718882
"TN",1,0.66,0.717145281146653,0.854940223783207,0.88574534758382
"TN",1,0.61,0.731543403404576,0.654329069604633,0.749645014932209
"TN",1,0.5,0.657552555176577,0.574423490609517,0.776278829021713
"TN",1,0.48,0.581555477225992,0.369766046625428,0.450395380270742
"TN",1,0.51,0.554383630959867,0.348677196773659,0.387203330755674
"TN",1,0.4,0.547655304196454,0.317531810727732,0.314386004005651
"TN",1,1.9,0.549212708263792,0.343999467608848,0.390046430055155
"TN",1,0.31,0.548978815655785,0.343999467608848,0.397519992240779
"TN",1,0.26,0.549602750251539,0.44516501958563,0.816353564719446
"TN",1,0.52,0.547733069884762,0.466156333243474,0.505488319162348
"TN",1,0.33,0.545559812858814,0.363115106664742,0.40721069370168
"TN",1,0.3,0.54501784745145,0.33671145392011,0.32401327103958
"TN",1,0.44,0.547810845881415,0.504708739852203,0.453913957226115
"TN",1,0.4,0.549056768543563,0.486569777151807,0.455406624813964
"TN",1,1.3,0.554383630959867,0.931406974404884,1.00341592817718
"TN",1,0.36,0.553204162270181,0.988078719962887,0.694980666143532
"TN",1,1.3,0.587614656060417,1.034765169306,1.03591048214576
"TN",1,0.94,0.600093446581767,0.857751929470072,0.816218734916134
"TN",1,1.2,0.84099632950948,1.00481743548837,1.02164359150863
"TN",1,1.6,0.598646705669161,1.00564188666847,0.949747790431022
"TN",1,1.3,0.583209285485813,0.826853503890604,0.831999037132087
"TN",1,1.2,0.585615663906241,0.825906771766851,0.957435396732134
"TN",1,1,0.555013708326809,0.712493403506321,0.701506558351598
"TN",1,1.2,0.551792112463184,0.627750868672291,0.549639352909339
"TN",1,0.72,0.548044240875509,0.67009076196219,0.831364485944422
"TN",1,0.83,0.545327475905328,0.74449050927133,0.812944824369485
"TN",1,0.62,0.545327475905328,0.568906582528322,0.547695891197724
"TN",1,0.54,0.544012768046653,0.620003578990531,0.599380639079163
"TN",1,0.67,0.544012768046653,0.61142893224637,0.58820701655647
"TN",1,0.81,0.543781089931429,0.586691373867634,0.597009047144228
"TN",1,1.3,0.559206099561153,0.517541030679672,0.55592237876373
"TN",1,1.5,0.55226239505198,0.595048823188989,0.630457952555515
"TN",1,0.66,0.554383630959867,0.757437724059734,0.97015717400663
"TN",1,1.9,0.557699537906172,1.15487343172993,1.39881354679538
"TN",1,1.6,0.619398209747731,1.61932442211314,1.27462296266827
"TN",1,1.9,0.676012833299307,1.59612281515288,1.69304824021828
"TN",1,1.8,0.927560461147912,1.76181496512478,1.67745165684633
"TN",1,2.1,0.83398055962065,1.71785290637022,1.61992899117759
"TN",1,1.5,0.828316013184634,1.52232043165161,1.39972269527882
"TN",1,1.1,0.635974116878598,1.16793921150385,1.07340960524113
"TN",1,1,0.690466909115068,1.0063544375307,1.10857644322545
"TN",1,1.1,0.716839871279758,1.05353653152246,1.14733202842344
"TN",1,0.95,0.643147954967405,0.868615577093404,0.856754143696687
"TN",1,0.78,0.600434364673718,0.741723942980382,0.613485512501827
"TN",1,0.83,0.607466012438878,0.78647990363644,0.766240891441197
"TN",1,0.92,0.565594289191996,0.674315603131286,0.706828452445127
"TN",1,0.65,0.564310839496339,0.625626136044319,0.70199569207038
"TN",1,0.79,0.561114942979264,0.619651611034245,0.750949769256743
"TN",1,0.83,0.55007116688592,0.61749490058119,0.743599459942435
"TN",1,0.44,0.548277735307619,0.54948400982198,0.559646027705982
"TN",1,0.52,0.551165691662967,0.524925487213756,0.586048359003676
"TN",1,1.5,0.544012768046653,0.422367385577186,0.462176687532316
"TN",1,0.54,0.543781089931429,0.406877774211257,0.338857991575943
"TN",1,0.35,0.555565614356571,0.785522224598294,0.939687957382294
"TN",1,0.88,0.573763708527271,0.879207159641194,1.02959168155756
"TN",1,0.99,0.583789228435322,1.30728266162192,1.00615188409891
"TN",1,0.98,0.591381176913895,1.17574225782803,0.935600186754835
"TN",1,1.2,1.13508495887741,1.3496658108194,1.38087174012653
"TN",1,1.3,1.16711729161027,1.57807048634363,1.62011985808642
"TN",1,1.4,1.04669042667626,1.57808194063759,1.4513863948985
"TN",1,2,1.65621284147929,1.75845509864485,1.70658981223154
"TN",1,0.4,0.549680791735638,0.425331949179552,0.331820764326247
"TN",1,0.29,0.544244544868416,0.36289338766387,0.462977679078165
"TN",1,0.22,0.544553734003684,0.285073525112371,0.280861145824816
"TN",1,1.2,3.52858045876642,1.43646193707311,1.5235643746408
"TN",1,1.7,1.98517753286223,1.33215323460789,1.46899124369301
"TN",1,1.9,1.3661545325495,1.5293073233249,1.45691009664265
"TN",1,1.2,0.683832474001068,1.10995928448984,1.06155687687631
"TN",1,0.55,0.604883956611395,0.823467545913989,0.733261670756567
"TN",1,0.39,0.559603238693863,0.528042861254802,0.455852158328796
"TN",1,0.47,0.5469559147884,0.388806640586061,0.371191624839297
"TN",1,0.48,0.561035278120025,0.675809664455532,0.615398181332881
"TN",1,0.54,0.548978815655785,0.461061881286239,0.463035271281732
"TN",1,0.3,0.544244544868416,0.352209165508274,0.388331843588856
"TN",1,0.25,0.543472339491441,0.356176862413532,0.322657989687112
"TN",1,0.17,0.543626692427959,0.357220852108279,0.296399319703522
"TN",1,0.44,0.556355002745813,0.709625168116536,0.578278018419139
"TN",1,1.9,0.810630866308458,1.28557846387381,1.56571482715968
"TN",1,2.1,0.681022508677313,1.3107364714834,1.60195772351812
"TN",1,1.9,0.751760629351524,1.15483819333825,1.25602035441182
"TN",1,1.2,0.828551266394789,1.16072108222127,1.13234256030597
"TN",1,0.82,0.583043693008717,0.737307020187109,0.648733814941668
"TN",1,0.72,0.621071443323418,0.696940999001088,0.715044962750149
"TN",1,0.78,0.602056368779269,0.683235359610158,0.700677274915211
